system,layout,gran,query,selectivity,span,files_total,files_read,files_pct,n_iters,runtime_trimmed_s,runtime_median_s,runtime_min_s,answer
duckdb_iceberg_rest,L3s,compact,q59,week,1 week,299,18,6.0,3,2.858,2.858,2.858,620
duckdb_iceberg_rest,L3s,compact,q510,week,1 week,299,18,6.0,3,1.571,1.571,1.571,342
duckdb_iceberg_rest,L3s,compact,q511,week,1 week,299,18,6.0,3,1.774,1.774,1.774,263
duckdb_iceberg_rest,LHs,compact,q57,hour,1 hour,64,72,112.5,3,0.458,0.458,0.458,4
duckdb_iceberg_rest,LHs,compact,q58,hour,1 hour,64,32,50.0,3,0.702,0.702,0.702,56
duckdb_iceberg_rest,LHs,compact,q59,hour,1 hour,64,36,56.2,3,0.276,0.276,0.276,28
duckdb_iceberg_rest,LHs,compact,q510,hour,1 hour,64,36,56.2,3,0.325,0.325,0.325,88
duckdb_iceberg_rest,LHs,compact,q511,hour,1 hour,64,36,56.2,3,0.261,0.261,0.261,69
duckdb_iceberg_rest,LHs,compact,q57,day,1 day,64,72,112.5,3,0.838,0.838,0.838,4
duckdb_iceberg_rest,LHs,compact,q58,day,1 day,64,32,50.0,3,1.042,1.042,1.042,99
duckdb_iceberg_rest,LHs,compact,q59,day,1 day,64,36,56.2,3,0.914,0.914,0.914,115
duckdb_iceberg_rest,LHs,compact,q510,day,1 day,64,36,56.2,3,0.746,0.746,0.746,194
duckdb_iceberg_rest,LHs,compact,q511,day,1 day,64,36,56.2,3,0.761,0.761,0.761,163
duckdb_iceberg_rest,LHs,compact,q57,week,1 week,64,72,112.5,3,3.12,3.12,3.12,4
duckdb_iceberg_rest,LHs,compact,q58,week,1 week,64,32,50.0,3,3.932,3.932,3.932,165
duckdb_iceberg_rest,LHs,compact,q59,week,1 week,64,36,56.2,3,4.957,4.957,4.957,622
duckdb_iceberg_rest,LHs,compact,q510,week,1 week,64,36,56.2,3,4.371,4.371,4.371,343
duckdb_iceberg_rest,LHs,compact,q511,week,1 week,64,36,56.2,3,4.367,4.367,4.367,264
duckdb_iceberg_rest,L1s,compact,q57,hour,1 hour,16,32,200.0,3,0.5937575830030255,0.5937575830030255,0.5551622920029331,4
duckdb_iceberg_rest,L1s,compact,q58,hour,1 hour,16,16,100.0,3,0.5482578749943059,0.5482578749943059,0.4849189579981612,56
duckdb_iceberg_rest,L1s,compact,q59,hour,1 hour,16,16,100.0,3,0.4588320000038948,0.4588320000038948,0.3884145829943008,28
duckdb_iceberg_rest,L1s,compact,q510,hour,1 hour,16,16,100.0,3,0.3515339169971412,0.3515339169971412,0.3468571249977685,88
duckdb_iceberg_rest,L1s,compact,q511,hour,1 hour,16,16,100.0,3,0.3767973750072997,0.3767973750072997,0.3431267919950187,69
duckdb_iceberg_rest,L1s,compact,q57,day,1 day,16,32,200.0,3,1.0416958339919802,1.0416958339919802,1.0402158749930095,4
duckdb_iceberg_rest,L1s,compact,q58,day,1 day,16,16,100.0,3,1.1428706669976236,1.1428706669976236,1.1388063339982182,99
duckdb_iceberg_rest,L1s,compact,q59,day,1 day,16,16,100.0,3,0.9928410420106956,0.9928410420106956,0.9837092499947176,115
duckdb_iceberg_rest,L1s,compact,q510,day,1 day,16,16,100.0,3,0.8627980409946758,0.8627980409946758,0.8587709999992512,194
duckdb_iceberg_rest,L1s,compact,q511,day,1 day,16,16,100.0,3,0.8890968339983374,0.8890968339983374,0.8806961669906741,163
duckdb_iceberg_rest,L1s,compact,q57,week,1 week,16,32,200.0,3,3.3646332920034183,3.3646332920034183,3.338612874998944,4
duckdb_iceberg_rest,L1s,compact,q58,week,1 week,16,16,100.0,3,3.871477833003155,3.871477833003155,3.865546582994284,165
duckdb_iceberg_rest,L1s,compact,q59,week,1 week,16,16,100.0,3,5.018626042001415,5.018626042001415,4.965109917000518,622
duckdb_iceberg_rest,L1s,compact,q510,week,1 week,16,16,100.0,3,5.656851958003244,5.656851958003244,4.707133082993096,343
duckdb_iceberg_rest,L1s,compact,q511,week,1 week,16,16,100.0,3,4.904293708998011,4.904293708998011,4.546053166006459,264
duckdb_iceberg_rest,L4s,compact,q57,hour,1 hour,24,48,200.0,3,0.031899624998914,0.031899624998914,0.0318316659977426,1
duckdb_iceberg_rest,L4s,compact,q58,hour,1 hour,24,24,100.0,3,0.1218318329920293,0.1218318329920293,0.1175275830028113,43
duckdb_iceberg_rest,L4s,compact,q59,hour,1 hour,24,24,100.0,3,0.0909121250006137,0.0909121250006137,0.0896092920011142,18
duckdb_iceberg_rest,L4s,compact,q510,hour,1 hour,24,24,100.0,3,0.0758027080009924,0.0758027080009924,0.0750618330057477,62
