Building L4 for 2026-01 from L0=data/L0 → data/layouts/L4_t1h_daily
  L4: 24 hours (granularity=daily)
  L4 day=2026-01-24 hour=19 rows=337
  L4 day=2026-01-24 hour=20 rows=311
  L4 day=2026-01-24 hour=21 rows=307
  L4 day=2026-01-24 hour=22 rows=281
  L4 day=2026-01-24 hour=23 rows=262
  L4 day=2026-01-25 hour=0 rows=1636
  L4 day=2026-01-25 hour=1 rows=225
  L4 day=2026-01-25 hour=2 rows=222
  L4 day=2026-01-25 hour=3 rows=309
  L4 day=2026-01-25 hour=4 rows=420
  L4 day=2026-01-25 hour=5 rows=427
  L4 day=2026-01-25 hour=6 rows=988
  L4 day=2026-01-25 hour=7 rows=601
  L4 day=2026-01-25 hour=8 rows=688
  L4 day=2026-01-25 hour=9 rows=684
  L4 day=2026-01-25 hour=10 rows=703
  L4 day=2026-01-25 hour=11 rows=626
  L4 day=2026-01-25 hour=12 rows=1071
  L4 day=2026-01-25 hour=13 rows=569
  L4 day=2026-01-25 hour=14 rows=582
  L4 day=2026-01-25 hour=15 rows=603
  L4 day=2026-01-25 hour=16 rows=518
  L4 day=2026-01-25 hour=17 rows=444
