### [09:12:46] build L2 daily @ 50km (tile=1000, matches original tile)
Building L2 for 2026-01 from L0=data/L0 → data/layouts_daily
  L2: 376 candidate region cells × 31 day(s) (granularity=daily)
  L2 [17/302] region_x=-2/region_y=121 rows=66  sources=1
  L2 [18/302] region_x=-2/region_y=122 rows=29  sources=1
  L2 [19/302] region_x=-2/region_y=125 rows=9  sources=1
  L2 [20/302] region_x=-2/region_y=126 rows=3  sources=1
  L2 [21/302] region_x=-21/region_y=93 rows=1  sources=1
  L2 [22/302] region_x=-22/region_y=96 rows=1  sources=1
  L2 [23/302] region_x=-3/region_y=114 rows=4  sources=4
  L2 [24/302] region_x=-5/region_y=110 rows=1  sources=1
  L2 [25/302] region_x=-6/region_y=116 rows=1  sources=1
  L2 [26/302] region_x=-8/region_y=116 rows=1  sources=1
  L2 [27/302] region_x=-9/region_y=115 rows=1  sources=1
  L2 [28/302] region_x=-9/region_y=127 rows=2  sources=2
  L2 [29/302] region_x=0/region_y=114 rows=2  sources=2
  L2 [30/302] region_x=0/region_y=121 rows=82  sources=2
  L2 [31/302] region_x=0/region_y=123 rows=49  sources=1
  L2 [32/302] region_x=0/region_y=124 rows=19  sources=1
  L2 [33/302] region_x=1/region_y=115 rows=1  sources=1
  L2 [34/302] region_x=1/region_y=122 rows=4  sources=3
  L2 [35/302] region_x=1/region_y=123 rows=24  sources=4
  L2 [36/302] region_x=1/region_y=124 rows=9  sources=1
  L2 [37/302] region_x=10/region_y=118 rows=2751  sources=18
  L2 [38/302] region_x=10/region_y=119 rows=23166  sources=31
  L2 [39/302] region_x=10/region_y=120 rows=42336  sources=31
  L2 [40/302] region_x=10/region_y=121 rows=7233  sources=31
  L2 [41/302] region_x=10/region_y=122 rows=13543  sources=31
  L2 [42/302] region_x=10/region_y=123 rows=7996  sources=31
  L2 [43/302] region_x=10/region_y=125 rows=6176  sources=31
  L2 [44/302] region_x=10/region_y=126 rows=2512  sources=31
  L2 [45/302] region_x=10/region_y=127 rows=132967  sources=31
  L2 [46/302] region_x=10/region_y=128 rows=134319  sources=31
  L2 [47/302] region_x=10/region_y=129 rows=13165  sources=31
  L2 [48/302] region_x=10/region_y=130 rows=1139  sources=18
  L2 [49/302] region_x=10/region_y=131 rows=82  sources=10
  L2 [50/302] region_x=11/region_y=107 rows=47  sources=1
  L2 [51/302] region_x=11/region_y=114 rows=1  sources=1
  L2 [52/302] region_x=11/region_y=118 rows=530  sources=11
  L2 [53/302] region_x=11/region_y=120 rows=104460  sources=31
  L2 [54/302] region_x=11/region_y=121 rows=57299  sources=31
  L2 [55/302] region_x=11/region_y=122 rows=27124  sources=31
  L2 [56/302] region_x=11/region_y=123 rows=56108  sources=31
  L2 [57/302] region_x=11/region_y=124 rows=42763  sources=31
  L2 [58/302] region_x=11/region_y=125 rows=10112  sources=31
  L2 [59/302] region_x=11/region_y=126 rows=21320  sources=31
  L2 [60/302] region_x=11/region_y=127 rows=84359  sources=31
  L2 [61/302] region_x=11/region_y=128 rows=218082  sources=31
  L2 [62/302] region_x=11/region_y=129 rows=17039  sources=31
  L2 [63/302] region_x=11/region_y=130 rows=2863  sources=18
  L2 [64/302] region_x=11/region_y=131 rows=1402  sources=11
  L2 [65/302] region_x=11/region_y=132 rows=85  sources=5
  L2 [66/302] region_x=12/region_y=117 rows=2  sources=1
  L2 [67/302] region_x=12/region_y=119 rows=9465  sources=31
  L2 [68/302] region_x=12/region_y=120 rows=97699  sources=31
  L2 [69/302] region_x=12/region_y=121 rows=250853  sources=31
  L2 [70/302] region_x=12/region_y=122 rows=137339  sources=31
